px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.4485	0.251375	-0.000737076	-1.21431e-17	2.08167e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000275943
8.47148	0.248799	-0.00567524	3.19434e-06	3.37355e-07	8.56759	0.241943	8.45	0.25	0	0	0.125934
8.46434	0.250982	-0.00899238	-2.12088e-05	-3.13932e-06	8.45582	0.253997	8.45	0.25	0	0	0.00656086
8.37932	0.251334	-1.27063	0.000907552	0.000242347	8.42544	0.254042	8.35	0.25	-1.81979	0	12.1567
8.30432	0.25061	-1.29641	0.00343074	0.000885611	8.23962	0.24916	8.25	0.25	-1.81978	0	0.281961
8.09883	0.232092	-2.11603	0.163431	0.0523403	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	14.9967
7.98286	0.193672	-2.19109	0.285262	0.0871451	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.35129
7.79256	0.272776	-2.81736	-0.387407	-0.264774	7.61269	0.155818	7.7	0.15	-2.99982	0	5.3748
7.63807	0.210618	-2.93721	-0.070828	-0.104049	7.54016	0.159641	7.55	0.15	-2.99982	0	0.97751
7.53537	0.210956	-2.48937	-0.0934047	-0.162299	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.63338
7.38834	0.111845	-2.48717	0.118901	0.0236346	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.785243
7.2275	0.0821868	-2.79901	0.129894	-0.024495	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.856975
7.07484	0.00185119	-2.82461	0.231608	0.135925	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.309776
6.97219	-0.108693	-2.32467	0.436508	0.682107	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	3.50382
6.86061	-0.208465	-2.36987	0.548396	0.830945	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.21708
6.74759	-0.275706	-2.49271	0.55673	0.694193	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.390286
6.64604	-0.391496	-2.58715	0.665278	0.840627	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.375975
6.60111	-0.55297	-2.4172	0.985494	1.61586	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	2.84826
6.5453	-0.654024	-2.40809	1.06583	1.61584	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.0128471
6.49925	-0.811409	-2.49589	1.24831	1.84965	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.402329
6.46212	-0.979716	-2.62353	1.37558	1.87967	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.357011
6.35616	-1.00975	-2.16322	1.13219	0.920788	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	8.32025
6.29245	-1.16149	-2.33437	1.18125	0.892827	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.608691
6.3875	-1.33873	-2.16712	1.6458	2.13955	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	24.7901
6.389	-1.52748	-2.44336	1.7653	2.1282	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	1.19614
6.34818	-1.54788	-1.54932	1.65786	1.4371	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	10.4669
6.32466	-1.72412	-1.86446	1.6762	1.28523	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	3.67072
6.36267	-1.91507	-2.49989	1.83516	1.61687	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	6.89843
6.37964	-2.09832	-2.70799	1.86658	1.49625	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	1.34993
6.36396	-2.23569	-2.32949	1.80233	1.05826	6.32593	-2.40018	6.35	-2.4	0	-2.72613	4.15226
6.37228	-2.4255	-2.53103	1.79571	0.916404	6.34927	-2.55175	6.35	-2.55	0	-2.72611	1.12935
6.41871	-2.5982	-2.81191	1.87111	1.0235	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	1.09254
6.4503	-2.78126	-2.92367	1.88794	0.94487	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.295141
6.45455	-2.91789	-2.64646	1.84678	0.679141	6.46536	-3.00452	6.45	-3	0	-2.99754	1.8222
6.46989	-3.085	-2.76125	1.83478	0.590072	6.44119	-3.14955	6.45	-3.15	0	-2.99754	0.366183
6.52346	-3.25401	-2.98663	1.89217	0.69287	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.686584
6.56347	-3.42847	-3.04296	1.90595	0.646454	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0.0886968
6.64268	-3.59853	-3.28695	1.98348	0.788493	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	0.770114
6.72766	-3.75403	-3.27095	2.04173	0.815455	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.0633612
6.78595	-3.88846	-2.91658	2.0528	0.686919	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.31252
6.85692	-4.03928	-2.941	2.07986	0.664429	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0.0245979
6.91557	-4.17038	-2.74544	2.09029	0.583757	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	0.459586
6.97314	-4.32084	-2.78267	2.09107	0.521955	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	0.110248
7.01025	-4.42908	-2.30225	2.06791	0.352003	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	2.49353
7.06096	-4.54588	-2.31186	2.07383	0.326532	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0.0272683
7.1278	-4.66842	-2.45727	2.0968	0.35228	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	0.200761
7.17382	-4.8155	-2.51122	2.06783	0.259263	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	0.213108
7.28163	-4.97247	-3.06365	2.1367	0.432643	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	3.0064
7.34713	-5.13543	-3.09716	2.11678	0.350567	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	0.160928
7.40375	-5.27068	-2.8663	2.09621	0.246077	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.716801
7.46455	-5.42738	-2.90269	2.07553	0.18223	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.0803248
